"Environment","Run","Model.Unique","response","SE","df","lower.CL","upper.CL"
"Native","bypass","guitar-lstm",0.000497585358132276,1.80265201004893e-06,432.000000000151,0.00049405488306935,0.000501141061676078
"Chrome","bypass","guitar-lstm",0.00102087055129469,3.69840937080407e-06,431.999999999988,0.00101362725531559,0.00102816560726384
"Firefox","bypass","guitar-lstm",0.000755258564649109,2.7361503858994e-06,431.999999999988,0.00074989984280375,0.000760655579474646
"Safari","bypass","guitar-lstm",0.000717502494870085,2.59936771340642e-06,431.999999999988,0.000712411660454792,0.000722629707964283
"Native","onnx","guitar-lstm",0.00347446020580229,1.25872728597454e-05,431.999999999988,0.00344980816386972,0.00349928840917416
"Chrome","onnx","guitar-lstm",0.0118649070068965,4.29841797301073e-05,432.000000000015,0.0117807229415353,0.0119496926445802
"Firefox","onnx","guitar-lstm",0.00654569365461205,2.37137360069088e-05,432.000000000015,0.00649925055125407,0.00659246863652011
"Safari","onnx","guitar-lstm",0.005985734193442,2.16851151246283e-05,432.000000000002,0.00594326412281419,0.00602850775165877
"Native","bypass","steerable-nafx",0.000123202038785852,4.46336290306242e-07,432.000000000002,0.000122327893840615,0.000124082430298092
"Chrome","bypass","steerable-nafx",0.000151387136991191,5.48445251317466e-07,432.000000000002,0.00015031301271631,0.000152468936868716
"Firefox","bypass","steerable-nafx",0.000138288570210824,5.00991769518843e-07,432.000000000015,0.00013730738308255,0.00013927676882063
"Safari","bypass","steerable-nafx",0.000140031440435414,5.07305838979018e-07,432.000000000015,0.000139037887268299,0.000141032093450746
"Native","onnx","steerable-nafx",0.0113671036326456,4.11807378913627e-05,431.999999999988,0.0112864515892186,0.0114483320088605
"Chrome","onnx","steerable-nafx",0.0420579359028537,0.000152367471137768,432.000000000002,0.04175952580803,0.0423584784113715
"Firefox","onnx","steerable-nafx",0.020939022028607,7.58578795204349e-05,432.000000000029,0.0207904551668498,0.0210886505367897
"Safari","onnx","steerable-nafx",0.020932195529287,7.58331484817912e-05,432.000000000002,0.0207836771030097,0.0210817752558739
